Year;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Afghanistan;188;199;226;249;278;275;266;;;;;;;;;;;;;;;;;;;;117;188;199;219;250;273;370;373;446;553;604;669;639;629;570;562
Albania;;;;;;;;;;663;663;719;699;677;723;639;349;218;381;619;761;1046;750;865;1098;1176;1327;1454;1891;2417;2709;3005;3603;4371;4114;4094;4437;4248;4413;4579;3935;4125
Algeria;931;1031;1186;1448;1772;2190;2224;2197;2299;2453;2567;2741;2790;2403;2203;2394;1722;1766;1798;1500;1445;1596;1612;1588;1581;1757;1733;1774;2094;2599;3100;3465;3935;4905;3869;4463;5432;5565;5471;5466;4160;3917
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;8752;8915;8639;8508;8457;8981;9872;12058;10353;10376;11660;11590;11599;11866;11835
Andorra;7169;7152;7751;9130;11821;12377;10372;9610;8023;7729;7774;10362;12616;14304;15166;18879;19533;20548;16516;16235;18461;19017;18353;18895;19262;21937;22229;24741;32776;38503;41282;43749;48583;47786;43339;39736;41099;38391;40620;42295;36038;36989
Angola;;;;;;;;;;;630;612;596;581;848;824;965;438;394;293;353;513;507;416;386;555;526;711;779;1041;1444;2062;2879;3869;3348;3529;4299;4598;4805;4709;3696;3309
Antigua and Barbuda;;;1063;1199;1484;1790;2023;2269;2543;2946;3453;4221;4970;5945;6586;6889;7157;7297;7652;8219;7841;8380;8755;9115;9363;9932;9414;9443;9802;10419;11453;12813;14351;14797;13082;12175;11931;12518;12195;12947;13659;14462
Arab World;826;997;1114;1183;1550;2041;2038;1838;1670;1641;1572;1452;1526;1458;1487;1988;1905;2005;1975;1970;2054;2217;2301;2173;2316;2590;2495;2463;2722;3118;3746;4337;4938;6116;5158;5918;6856;7343;7439;7452;6436;6162
Argentina;2012;1933;2113;2129;2501;2738;2756;2908;3530;2643;2910;3595;3547;3969;2375;4319;5716;6798;6940;7449;7373;7684;8173;8249;7736;7669;7171;2579;3330;4252;5077;5879;7194;8953;8161;10276;12727;12970;12977;12245;13467;12440
Armenia;;;;;;;;;;;;;;;;638;590;370;357;401;456;504;523;609;597;623;694;783;930;1192;1644;2158;3139;4010;2994;3218;3527;3685;3844;3995;3618;3615
Aruba;;;;;;;;;;;;;;;;;;;;17342;16442;16585;17927;19081;19356;20621;20671;20434;20835;22568;23303;24015;25921;27547;24631;24272;25325;;;;;
Australia;6998;7481;7770;8246;9287;10202;11845;12779;11528;12449;11453;11380;11644;14283;17838;18249;18865;18616;17681;18102;20385;21944;23551;21366;20561;21691;19518;20082;23465;30472;34017;36118;40992;49665;42743;51874;62245;67635;67709;62100;56408;49755
Austria;5286;5678;6811;8205;9794;10870;9385;9410;9537;8991;9172;13083;16393;17579;17469;21681;22411;24880;24082;25647;30326;29809;26705;27362;27174;24564;24538;26402;32223;36822;38403;40635;46856;51709;47963;46858;51375;48568;50719;51733;44256;44758
Azerbaijan;;;;;;;;;;;;;;;;1237;1209;676;530;436;397;409;506;562;574;655;704;763;884;1045;1578;2473;3851;5575;4950;5843;7190;7496;7876;7891;5500;3879
Bahamas, The;3156;3329;3617;4131;5532;6339;6623;7165;7695;8874;9888;10340;11151;11382;12158;12351;11915;11682;11403;11812;12240;12717;17288;18457;20506;21241;21498;22506;22009;21996;23405;23719;24301;23652;22037;21922;21524;28816;28303;28374;29056;28785
Bahrain;;;;;;8538;9269;9446;9421;9591;8707;7042;7555;7959;8031;8529;9056;9083;9698;10130;10377;10545;10672;10076;10401;13636;12868;13102;14222;15846;17959;19308;20977;23068;19357;20722;22512;23649;24737;24983;22689;22579
Bangladesh;273;139;129;172;196;223;242;215;199;209;239;227;247;263;278;298;285;285;292;291;320;383;390;395;397;406;403;401;433;461;484;494;541;616;681;758;836;856;952;1085;1210;1359
Barbados;;;;;;;;;;;;;;;;7771;7682;7441;7778;8148;8537;9069;9550;10728;11201;11568;11514;11675;12028;12869;14223;15440;16381;16614;15923;15959;16610;16536;16327;16262;16129;15892
Belarus;;;;;;;;;;;;;;;;2125;1709;1676;1591;1460;1371;1452;1397;1512;1211;1276;1244;1479;1820;2378;3126;3848;4735;6377;5176;6029;6519;6940;7979;8319;5949;4989
Belgium;6737;7282;8472;10345;11874;12933;10680;9394;8894;8503;8798;12235;15217;16479;16614;20711;21154;23498;22403;24338;28566;27702;25028;25542;25444;23207;23122;25052;30744;35590;36967;38852;44404;48425;44881;44380;47703;44741;46583;47379;40375;41271
Belize;886;717;859;981;1074;1351;1307;1183;1213;1315;1268;1344;1586;1759;1979;2202;2327;2667;2833;2880;2996;3002;2953;2992;3065;3364;3419;3557;3680;3832;3933;4187;4325;4470;4259;4344;4516;4674;4689;4852;4850;4745
Benin;207;209;218;264;328;378;338;323;271;253;244;303;345;347;312;394;386;318;412;280;367;387;361;379;404;374;379;419;519;583;602;626;706;820;793;758;826;838;915;944;784;789
Bermuda;6509;7261;8371;8877;9613;11218;13426;14166;15902;17470;18270;20451;22412;24253;25518;26842;27700;28670;30901;31476;33990;44827;48479;51372;54245;56284;58884;62583;66112;70359;75882;83913;90850;93606;88463;88207;85973;85458;85748;;;
Bhutan;;;;;;332;348;346;375;373;369;417;506;549;520;558;465;472;450;524;589;609;692;695;752;766;808;886;998;1097;1247;1335;1741;1795;1770;2179;2458;2422;2351;2505;2615;2774
Bolivia;480;534;617;702;808;812;1032;959;910;1014;866;625;673;697;701;710;764;791;788;806;887;958;1007;1059;1013;1007;958;914;917;978;1046;1234;1390;1737;1777;1981;2378;2645;2948;3124;3077;3105
Bosnia and Herzegovina;;;;;;;;;;;;;;;;;;;;318;486;737;979;1098;1246;1462;1524;1762;2215;2651;2968;3404;4180;5078;4701;4615;5054;4722;5043;5204;4584;4808
Botswana;430;434;506;636;850;1060;1034;943;1053;1078;937;1135;1554;2031;2302;2751;2783;2848;2783;2779;3015;3022;3066;2869;3226;3349;3128;3056;4163;4897;5351;5375;5714;5623;5186;6346;7645;7029;7008;7498;6532;6924
Brazil;1150;1385;1561;1737;1901;1940;2125;2219;1565;1574;1643;1936;2082;2294;2901;3093;3967;2592;2786;3495;4841;5157;5271;5076;3470;3739;3147;2820;3060;3623;4770;5860;7314;8788;8553;11224;13167;12291;12217;12027;8757;8650
Brunei Darussalam;7226;8459;9914;10712;14941;25413;21822;20687;18124;17333;15695;10212;11592;11007;11870;13604;13902;15270;14572;14117;15929;16789;16656;12691;14098;18008;16468;16846;18556;21897;26102;30981;32672;37951;27965;35268;47017;47651;44597;41531;30968;26939
Bulgaria;;;;;;2239;2235;2169;1853;1964;1915;2260;3132;2511;2477;2367;1268;1212;1278;1148;1554;1209;1347;1772;1644;1609;1765;2088;2710;3382;3894;4513;5933;7262;6970;6843;7814;7378;7675;7853;6993;7469
Burkina Faso;153;156;177;226;262;283;254;245;218;194;201;257;291;313;305;352;346;241;244;193;236;249;229;256;265;226;235;261;332;371;407;423;475;570;553;575;667;674;700;704;575;627
Burundi;115;120;143;156;195;223;229;234;243;216;245;248;227;211;211;209;211;191;163;158;168;144;159;144;129;136;134;122;113;127;151;166;171;196;205;231;260;265;283;313;301;286
Cabo Verde;;;;;;496;478;473;456;427;437;595;724;802;798;898;914;995;1329;1072;1252;1259;1202;1251;1390;1239;1269;1374;1769;1976;2048;2304;3112;3639;3445;3313;3670;3408;3559;3530;2954;2998
Cambodia;;;;;;;;;;;;;;;;;;;254;271;323;319;305;269;296;301;321;339;362;409;474;540;632;746;738;786;882;950;1028;1099;1163;1270
Cameroon;369;401;427;543;695;782;860;800;782;801;811;1024;1150;1132;980;952;1031;918;1215;809;716;761;765;731;752;660;662;720;881;1028;1030;1081;1216;1397;1339;1309;1430;1381;1494;1571;1354;1375
Canada;7490;8784;8893;9096;10012;11135;12298;12440;13378;13827;14060;14404;16245;18864;20638;21371;21665;20771;20017;19859;20577;21183;21770;20888;22167;24124;23692;24168;28172;31980;36190;40387;44545;46596;40773;47447;52082;52497;52418;50633;43525;42349
Caribbean small states;1576;1600;1840;1857;2104;2552;2782;3069;3060;2850;2775;2461;2619;2759;2781;2970;2911;2841;2953;3092;3359;3632;4026;4388;4630;4939;5044;5276;5622;6131;6900;7701;8520;9658;8053;8726;9418;9987;10013;9967;9648;9207
Cayman Islands;;;;;;;;;;;;;;;;;;;;;;30190;;;;;;;;;;64101;;;;;;;;;;
Central African Republic;188;219;240;282;316;350;296;309;264;249;328;416;436;450;430;490;457;456;402;260;333;293;267;269;272;244;243;254;286;313;324;348;397;457;450;446;494;486;337;377;348;382
Central Europe and the Baltics;;;;;;;;;;;;;;;;2315;2202;2364;2491;2827;3516;3769;3738;4099;3979;3947;4345;4926;5947;7167;8349;9468;11962;14498;12214;12567;13888;13002;13714;14138;12451;12741
Chad;212;208;220;257;227;229;190;177;172;186;203;204;215;265;249;292;305;296;223;174;207;222;206;225;191;166;197;221;293;455;660;712;802;930;804;897;989;973;986;1026;777;664
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;40538;42405;43299;41610;44159;48226;55844;57211;62262;73570;;;;;;;;;
Chile;730;975;1297;1463;1965;2577;3017;2180;1725;1637;1453;1525;1767;2033;2294;2501;2811;3362;3551;4046;5137;5383;5781;5479;4986;5101;4596;4464;4788;6211;7615;9485;10527;10781;10243;12860;14706;15432;15941;14817;13653;13793
China;178;165;185;156;184;195;197;203;225;251;294;282;252;284;311;318;333;366;377;473;610;709;782;829;873;959;1053;1149;1289;1509;1753;2099;2695;3471;3838;4561;5634;6338;7078;7684;8069;8123
Colombia;529;606;752;878;1030;1204;1282;1342;1305;1260;1125;1103;1125;1189;1176;1175;1181;1386;1542;2219;2471;2554;2760;2509;2164;2472;2396;2356;2246;2740;3386;3709;4674;5434;5148;6251;7228;7885;8031;7913;6045;5806
Comoros;;;;;;401;360;328;332;311;322;444;522;535;497;607;582;610;587;402;488;472;423;418;421;376;396;433;545;616;622;648;721;796;779;769;830;789;834;853;728;775
Congo, Dem. Rep.;447;410;509;616;587;546;464;493;387;270;241;264;243;273;270;270;253;220;276;145;136;135;139;139;103;405;154;175;174;194;219;253;280;318;293;318;357;398;458;487;498;449
Congo, Rep.;482;461;454;506;671;927;1052;1107;1044;1061;1016;845;1022;957;1006;1147;1087;1138;725;650;756;882;784;639;751;998;843;886;998;1289;1637;2012;2111;2882;2255;2737;3197;2952;2965;2911;1712;1528
Costa Rica;935;1121;1392;1555;1734;2022;1069;1034;1535;1727;1757;1956;2034;2059;2274;2391;2257;2618;2855;3045;3279;3230;3408;3615;3688;3808;3982;4062;4168;4426;4697;5245;6121;6911;6809;8199;9187;9985;10570;10647;11406;11825
Cote d'Ivoire;589;673;864;1041;1152;1227;973;837;725;696;683;862;915;898;824;880;826;847;811;590;757;810;759;794;759;642;657;711;866;920;932;952;1066;1242;1218;1220;1215;1262;1424;1570;1434;1535
Croatia;;;;;;;;;;;;;;;;;;;;;4795;5269;5210;5650;5135;4920;5245;6054;7806;9366;10224;11363;13547;15894;14157;13506;14539;13236;13575;13467;11638;12149
Cuba;1380;1445;1474;1838;2003;2025;2039;2111;2228;2400;2273;2383;2455;2645;2577;2707;2280;2058;2072;2622;2790;2282;2303;2326;2553;2741;2832;2994;3193;3391;3779;4669;5184;5376;5485;5676;6076;6426;6760;7051;7602;
