Country;y1975;y1976;y1977;y1978;y1979;y1980;y1981;y1982;y1983;y1984;y1985;y1986;y1987;y1988;y1989;y1990;y1991;y1992;y1993;y1994;y1995;y1996;y1997;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013;y2014;y2015;y2016
Afghanistan;0.96;;;;;1.29;;;;;1.73;;;;;2.06;;;;;2.4;;;;;3.03;;;;;3.32;;;;;3.93;;;;;;
Albania;5.77;;;;;6.95;;;;;7.93;;;;;8.61;;;;;8.54;;;;;9.93;;;;;10.24;;;;;10.44;;;;;;
Algeria;2.26;;;;;3;;;;;4.28;;;;;5.05;;;;;5.76;;;;;6.06;;;;;6.43;;;;;7;;;;;;
Argentina;7.03;;;;;7.51;;;;;8.09;;;;;8.67;;;;;8.91;;;;;9.08;;;;;9.57;;;;;9.71;;;;;;
Australia;10.8;;;;;11.4;;;;;11.43;;;;;11.44;;;;;11.51;;;;;11.37;;;;;11.71;;;;;11.69;;;;;;
Austria;7.44;;;;;7.6;;;;;7.84;;;;;8.26;;;;;8.93;;;;;9.43;;;;;9.89;;;;;10.13;;;;;;
Bangladesh;1.63;;;;;2.31;;;;;2.87;;;;;3.15;;;;;3.72;;;;;4.77;;;;;5.51;;;;;6.22;;;;;;
Barbados;7.95;;;;;7.72;;;;;8.42;;;;;8.79;;;;;9.07;;;;;9.23;;;;;9.41;;;;;9.57;;;;;;
Belgium;8.39;;;;;8.93;;;;;9.41;;;;;10;;;;;10.64;;;;;10.95;;;;;11.11;;;;;11.29;;;;;;
Belize;6.29;;;;;6.16;;;;;6.4;;;;;7.15;;;;;7.72;;;;;8.19;;;;;8.75;;;;;9.63;;;;;;
Benin;0.96;;;;;1.26;;;;;1.77;;;;;2.24;;;;;2.73;;;;;3.31;;;;;3.85;;;;;4.57;;;;;;
Bolivia;4.8;;;;;5.76;;;;;6.7;;;;;7.63;;;;;8.09;;;;;8.73;;;;;8.77;;;;;8.57;;;;;;
Brazil;2.87;;;;;3.05;;;;;4.12;;;;;4.94;;;;;5.79;;;;;6.76;;;;;7.67;;;;;8.17;;;;;;
Bulgaria;7.41;;;;;8.15;;;;;8.76;;;;;8.68;;;;;9.31;;;;;9.65;;;;;10.61;;;;;11.07;;;;;;
Cambodia;2.31;;;;;2.66;;;;;2.89;;;;;3.2;;;;;3.41;;;;;3.64;;;;;4.26;;;;;4.94;;;;;;
Cameroon;2.58;;;;;3.25;;;;;3.94;;;;;4.65;;;;;5.3;;;;;5.76;;;;;6.06;;;;;6.41;;;;;;
Canada;10.02;;;;;10.49;;;;;10.29;;;;;10.71;;;;;11.11;;;;;11.39;;;;;12.49;;;;;12.74;;;;;;
Chile;6.7;;;;;7.13;;;;;7.85;;;;;8.58;;;;;8.92;;;;;9.41;;;;;9.96;;;;;10.35;;;;;;
China;4.83;;;;;5.74;;;;;6.16;;;;;6.45;;;;;7.17;;;;;7.79;;;;;8.02;;;;;8.25;;;;;;
Colombia;4.43;;;;;4.99;;;;;5.63;;;;;6.16;;;;;6.68;;;;;7.12;;;;;7.56;;;;;9.35;;;;;;
Costa Rica;5.3;;;;;6.26;;;;;6.88;;;;;7.28;;;;;7.61;;;;;7.96;;;;;8.52;;;;;8.43;;;;;;
Cote d'Ivoire;1.76;;;;;2.13;;;;;2.46;;;;;2.79;;;;;3.46;;;;;4.06;;;;;4.52;;;;;4.93;;;;;;
Cuba;6.48;;;;;7.82;;;;;8.64;;;;;9.21;;;;;9.58;;;;;9.88;;;;;10.36;;;;;11.06;;;;;;
Cyprus;7.02;;;;;7.89;;;;;8.94;;;;;9.85;;;;;10.28;;;;;10.82;;;;;10.19;;;;;11.76;;;;;;
Czech Republic;9.07;;;;;9.5;;;;;9.86;;;;;10.44;;;;;12.23;;;;;12.78;;;;;12.81;;;;;12.8;;;;;;
Democratic Republic of Congo;1.65;;;;;2.16;;;;;2.87;;;;;3.32;;;;;3.53;;;;;3.52;;;;;3.63;;;;;3.79;;;;;;
Denmark;8.01;;;;;8.85;;;;;9.59;;;;;10.48;;;;;11.04;;;;;11.5;;;;;11.81;;;;;11.97;;;;;;
Dominican Republic;4.3;;;;;4.98;;;;;5.58;;;;;6.13;;;;;6.58;;;;;7.03;;;;;7.54;;;;;8.12;;;;;;
Ecuador;5.07;;;;;6.35;;;;;6.76;;;;;7.23;;;;;7.32;;;;;7.41;;;;;7.7;;;;;8.02;;;;;;
Egypt;1.82;;;;;2.8;;;;;3.92;;;;;4.6;;;;;5.36;;;;;6.3;;;;;6.93;;;;;7.44;;;;;;
El Salvador;3.37;;;;;3.74;;;;;4.57;;;;;5.08;;;;;5.8;;;;;7.04;;;;;8.08;;;;;8.06;;;;;;
Fiji;6.4;;;;;7.16;;;;;7.85;;;;;9.24;;;;;10.28;;;;;9.97;;;;;9.76;;;;;10.35;;;;;;
Finland;7.11;;;;;8.04;;;;;8.01;;;;;8.56;;;;;9.31;;;;;9.9;;;;;10.42;;;;;10.71;;;;;;
France;6.05;;;;;6.37;;;;;7.37;;;;;8.32;;;;;9.36;;;;;10.22;;;;;10.86;;;;;11.34;;;;;;
Gambia;0.75;;;;;1;;;;;1.32;;;;;1.85;;;;;2.33;;;;;2.77;;;;;3.39;;;;;3.92;;;;;;
Germany;7.17;;;;;7.36;;;;;7.73;;;;;8.96;;;;;9.93;;;;;10.59;;;;;11.98;;;;;12.58;;;;;;
Ghana;4.23;;;;;4.93;;;;;5.63;;;;;6.05;;;;;6.27;;;;;6.67;;;;;7.35;;;;;7.66;;;;;;
Greece;7.15;;;;;7.58;;;;;8.37;;;;;9.34;;;;;9.54;;;;;9.9;;;;;10.95;;;;;11.36;;;;;;
Guatemala;2.11;;;;;2.94;;;;;3.27;;;;;3.66;;;;;3.96;;;;;4.35;;;;;4.33;;;;;5.21;;;;;;
Guyana;6.16;;;;;6.65;;;;;7.04;;;;;7.27;;;;;7.92;;;;;8.43;;;;;8.79;;;;;9;;;;;;
Haiti;1.56;;;;;2.07;;;;;3.05;;;;;3.56;;;;;4.06;;;;;4.44;;;;;4.9;;;;;5.17;;;;;;
Honduras;2.73;;;;;3.74;;;;;4.65;;;;;5.07;;;;;5.47;;;;;5.87;;;;;6.24;;;;;6.6;;;;;;
Hong Kong;7.26;;;;;8.42;;;;;9.24;;;;;10.08;;;;;10.21;;;;;10.37;;;;;12.17;;;;;12.2;;;;;;
Hungary;8.85;;;;;9.39;;;;;9.31;;;;;9.48;;;;;10.75;;;;;11.57;;;;;11.89;;;;;11.98;;;;;;
Iceland;7.59;;;;;8.07;;;;;8.6;;;;;9.12;;;;;9.62;;;;;10.1;;;;;10.77;;;;;11.48;;;;;;
India;2.09;;;;;2.46;;;;;3.03;;;;;3.56;;;;;4.3;;;;;5.3;;;;;5.94;;;;;6.59;;;;;;
Indonesia;3.37;;;;;3.85;;;;;4.05;;;;;4.44;;;;;4.89;;;;;5.41;;;;;6.68;;;;;8.02;;;;;;
Iran;2.87;;;;;3.84;;;;;4.66;;;;;5.49;;;;;6.69;;;;;7.66;;;;;8.49;;;;;9.15;;;;;;
Iraq;2.11;;;;;2.92;;;;;3.98;;;;;4.9;;;;;5.44;;;;;6.23;;;;;6.6;;;;;7.43;;;;;;
Ireland;8.79;;;;;9.69;;;;;10.37;;;;;10.64;;;;;10.8;;;;;11.03;;;;;11.8;;;;;12.45;;;;;;
Italy;6.45;;;;;7.09;;;;;7.63;;;;;8.32;;;;;9.04;;;;;9.73;;;;;10.2;;;;;10.71;;;;;;
Jamaica;5.54;;;;;6.27;;;;;6.86;;;;;7.48;;;;;8.55;;;;;9.59;;;;;10.09;;;;;10.33;;;;;;
Japan;8.85;;;;;9.6;;;;;10.12;;;;;10.71;;;;;11.26;;;;;11.77;;;;;12.12;;;;;12.44;;;;;;
Jordan;4.67;;;;;5.18;;;;;6.3;;;;;7.23;;;;;8.06;;;;;8.85;;;;;9.52;;;;;10;;;;;;
Kenya;2.82;;;;;3.61;;;;;4.33;;;;;5.05;;;;;5.5;;;;;5.91;;;;;6.48;;;;;6.47;;;;;;
Kuwait;3.58;;;;;4.67;;;;;5.55;;;;;5.92;;;;;6.15;;;;;6.12;;;;;6.14;;;;;6.39;;;;;;
Lesotho;4.11;;;;;4.49;;;;;4.81;;;;;5.25;;;;;5.8;;;;;6.37;;;;;7.21;;;;;6.08;;;;;;
Liberia;1.67;;;;;2.23;;;;;2.73;;;;;3.08;;;;;3.17;;;;;3.6;;;;;3.96;;;;;4.35;;;;;;
Libya;2.35;;;;;3.45;;;;;4.55;;;;;5.42;;;;;6.13;;;;;7.04;;;;;7.79;;;;;8.43;;;;;;
Luxembourg;8.21;;;;;8.55;;;;;8.83;;;;;9.24;;;;;9.57;;;;;9.92;;;;;10.59;;;;;11.33;;;;;;
Malawi;1.96;;;;;2.5;;;;;2.96;;;;;3.14;;;;;3.3;;;;;3.73;;;;;4.67;;;;;5.01;;;;;;
Malaysia;5.06;;;;;6.06;;;;;7.03;;;;;8.01;;;;;8.66;;;;;9.49;;;;;10.16;;;;;10.89;;;;;;
Mali;0.46;;;;;0.65;;;;;0.83;;;;;0.95;;;;;1.07;;;;;1.3;;;;;1.81;;;;;2.14;;;;;;
Malta;6.84;;;;;7.51;;;;;8.38;;;;;9.19;;;;;10.06;;;;;10.43;;;;;10.6;;;;;11.06;;;;;;
Mauritius;5.18;;;;;5.52;;;;;6.09;;;;;6.85;;;;;7.07;;;;;7.07;;;;;8.16;;;;;9.44;;;;;;
Mexico;4.19;;;;;5.01;;;;;5.9;;;;;6.68;;;;;7.37;;;;;7.96;;;;;8.9;;;;;9.18;;;;;;
Morocco;1.43;;;;;1.88;;;;;2.45;;;;;3.05;;;;;3.64;;;;;4.09;;;;;4.63;;;;;5.27;;;;;;
Mozambique;1;;;;;1.19;;;;;1.25;;;;;1.06;;;;;0.98;;;;;1.13;;;;;1.34;;;;;2.03;;;;;;
Myanmar;1.69;;;;;2.34;;;;;2.87;;;;;2.99;;;;;3.4;;;;;3.89;;;;;4.45;;;;;5.11;;;;;;
Nepal;0.75;;;;;1.04;;;;;1.86;;;;;2.58;;;;;2.76;;;;;3.13;;;;;3.74;;;;;4.44;;;;;;
